"host_neighbourhood_lga","month_year","distinct_hosts","total_estimated_revenue","estimated_revenue_per_host"
armidale regional,"05-2020",1,1800.00,1800.00
armidale regional,"06-2020",1,1800.00,1800.00
armidale regional,"07-2020",1,1800.00,1800.00
armidale regional,"08-2020",1,1800.00,1800.00
armidale regional,"09-2020",1,1800.00,1800.00
armidale regional,"10-2020",2,3480.00,1740.00
armidale regional,"11-2020",2,2920.00,1460.00
armidale regional,"12-2020",2,7596.00,3798.00
armidale regional,"01-2021",2,4100.00,2050.00
armidale regional,"02-2021",2,1940.00,970.00
armidale regional,"03-2021",2,4800.00,2400.00
armidale regional,"04-2021",2,4800.00,2400.00
bathurst regional,"05-2020",10,188177.00,18817.70
bathurst regional,"06-2020",9,169296.00,18810.67
bathurst regional,"07-2020",9,207356.00,23039.56
bathurst regional,"08-2020",9,280447.00,31160.78
bathurst regional,"09-2020",9,313183.00,34798.11
bathurst regional,"10-2020",10,331082.62,33108.26
bathurst regional,"11-2020",9,316745.00,35193.89
bathurst regional,"12-2020",9,326877.00,36319.67
bathurst regional,"01-2021",9,304781.00,33864.56
bathurst regional,"02-2021",9,284709.00,31634.33
bathurst regional,"03-2021",9,359119.00,39902.11
bathurst regional,"04-2021",8,286325.00,35790.63
bayside,"05-2020",882,3546505.00,4020.98
bayside,"06-2020",866,3449311.00,3983.04
bayside,"07-2020",745,2656341.00,3565.56
bayside,"08-2020",742,2361957.83,3183.23
bayside,"09-2020",819,2689992.82,3284.48
bayside,"10-2020",804,2719708.86,3382.72
bayside,"11-2020",792,2647744.00,3343.11
bayside,"12-2020",774,2952156.90,3814.16
bayside,"01-2021",765,2793063.00,3651.06
bayside,"02-2021",758,2593138.00,3421.03
bayside,"03-2021",751,2857815.00,3805.35
bayside,"04-2021",707,2618731.00,3704.00
burwood,"05-2020",169,469183.00,2776.23
burwood,"06-2020",165,440776.00,2671.37
burwood,"07-2020",146,329264.00,2255.23
burwood,"08-2020",144,314148.06,2181.58
burwood,"09-2020",155,402087.87,2594.12
burwood,"10-2020",155,438684.41,2830.22
burwood,"11-2020",153,399059.00,2608.23
burwood,"12-2020",149,477323.00,3203.51
burwood,"01-2021",149,441434.00,2962.64
burwood,"02-2021",148,364128.00,2460.32
burwood,"03-2021",147,384359.00,2614.69
burwood,"04-2021",136,362866.00,2668.13
canada bay,"05-2020",204,955167.00,4682.19
canada bay,"06-2020",201,888037.00,4418.09
canada bay,"07-2020",168,684950.00,4077.08
canada bay,"08-2020",164,642030.00,3914.82
canada bay,"09-2020",186,736044.00,3957.23
canada bay,"10-2020",184,833097.21,4527.70
canada bay,"11-2020",169,763398.00,4517.15
canada bay,"12-2020",166,696305.00,4194.61
canada bay,"01-2021",165,692171.00,4194.98
canada bay,"02-2021",165,689264.00,4177.36
canada bay,"03-2021",163,730837.00,4483.66
canada bay,"04-2021",156,708990.00,4544.81
canterbury-bankstown,"05-2020",280,656634.00,2345.12
canterbury-bankstown,"06-2020",278,665597.00,2394.23
canterbury-bankstown,"07-2020",250,603538.00,2414.15
canterbury-bankstown,"08-2020",245,475424.69,1940.51
canterbury-bankstown,"09-2020",269,582846.66,2166.72
canterbury-bankstown,"10-2020",270,678027.67,2511.21
canterbury-bankstown,"11-2020",268,642622.00,2397.84
canterbury-bankstown,"12-2020",254,774738.00,3050.15
canterbury-bankstown,"01-2021",247,639280.00,2588.18
canterbury-bankstown,"02-2021",246,605999.00,2463.41
canterbury-bankstown,"03-2021",242,620402.00,2563.64
canterbury-bankstown,"04-2021",234,526411.00,2249.62
cumberland,"05-2020",4,41701.00,10425.25
cumberland,"06-2020",4,42240.00,10560.00
cumberland,"07-2020",4,34650.00,8662.50
cumberland,"08-2020",4,23206.15,5801.54
cumberland,"09-2020",4,20816.62,5204.16
cumberland,"10-2020",4,16332.18,4083.05
cumberland,"11-2020",2,289.00,144.50
cumberland,"12-2020",2,852.00,426.00
cumberland,"01-2021",1,3389.00,3389.00
cumberland,"02-2021",2,259.00,129.50
cumberland,"03-2021",2,437.00,218.50
cumberland,"04-2021",2,1095.00,547.50
dungog,"05-2020",49,168902.00,3446.98
dungog,"06-2020",47,159089.00,3384.87
dungog,"07-2020",42,139213.00,3314.60
dungog,"08-2020",41,131145.00,3198.66
dungog,"09-2020",43,135255.29,3145.47
dungog,"10-2020",43,155388.00,3613.67
dungog,"11-2020",43,146718.00,3412.05
dungog,"12-2020",41,147764.00,3604.00
dungog,"01-2021",40,164920.00,4123.00
dungog,"02-2021",40,132941.00,3323.53
dungog,"03-2021",40,134818.00,3370.45
dungog,"04-2021",40,137455.00,3436.38
georges river,"05-2020",132,466638.00,3535.14
georges river,"06-2020",126,523068.00,4151.33
georges river,"07-2020",115,462502.00,4021.76
georges river,"08-2020",111,356290.00,3209.82
georges river,"09-2020",118,433919.70,3677.29
georges river,"10-2020",117,458095.56,3915.35
georges river,"11-2020",116,392885.00,3386.94
georges river,"12-2020",112,490183.00,4376.63
georges river,"01-2021",109,410449.00,3765.59
georges river,"02-2021",108,381290.00,3530.46
georges river,"03-2021",108,381014.00,3527.91
georges river,"04-2021",101,334664.00,3313.50
hawkesbury,"05-2020",5,10470.00,2094.00
hawkesbury,"06-2020",5,10440.00,2088.00
hawkesbury,"07-2020",6,11170.00,1861.67
hawkesbury,"08-2020",4,10211.00,2552.75
hawkesbury,"09-2020",4,10440.00,2610.00
hawkesbury,"10-2020",4,10440.00,2610.00
hawkesbury,"11-2020",4,12295.00,3073.75
hawkesbury,"12-2020",4,8505.00,2126.25
hawkesbury,"01-2021",4,4545.00,1136.25
hawkesbury,"02-2021",4,12420.00,3105.00
hawkesbury,"03-2021",4,12420.00,3105.00
hawkesbury,"04-2021",3,6151.00,2050.33
hunters hill,"05-2020",65,319470.00,4914.92
hunters hill,"06-2020",66,321984.00,4878.55
hunters hill,"07-2020",54,254128.00,4706.07
hunters hill,"08-2020",55,243392.00,4425.31
hunters hill,"09-2020",61,297235.16,4872.71
hunters hill,"10-2020",60,292157.00,4869.28
hunters hill,"11-2020",59,241896.00,4099.93
hunters hill,"12-2020",57,289604.00,5080.77
hunters hill,"01-2021",57,310958.00,5455.40
hunters hill,"02-2021",53,247838.00,4676.19
hunters hill,"03-2021",51,252299.00,4947.04
hunters hill,"04-2021",49,221055.00,4511.33
inner west,"05-2020",1676,8718439.00,5201.93
inner west,"06-2020",1644,8529295.00,5188.14
inner west,"07-2020",1403,6729260.00,4796.34
inner west,"08-2020",1397,5848022.74,4186.13
inner west,"09-2020",1564,6885350.10,4402.40
inner west,"10-2020",1535,6882944.76,4484.00
inner west,"11-2020",1508,6684502.00,4432.69
inner west,"12-2020",1479,7070925.00,4780.88
inner west,"01-2021",1460,6586808.00,4511.51
inner west,"02-2021",1443,6237976.00,4322.92
inner west,"03-2021",1423,6212306.00,4365.64
inner west,"04-2021",1371,6152665.00,4487.72
lake macquarie,"05-2020",1,3261.00,3261.00
lake macquarie,"06-2020",1,3260.00,3260.00
lake macquarie,"07-2020",1,3291.00,3291.00
lake macquarie,"08-2020",1,2430.00,2430.00
lake macquarie,"09-2020",1,2430.00,2430.00
lake macquarie,"10-2020",1,2430.00,2430.00
lake macquarie,"11-2020",1,2430.00,2430.00
lake macquarie,"12-2020",1,3150.00,3150.00
lake macquarie,"01-2021",1,2430.00,2430.00
lake macquarie,"02-2021",1,2430.00,2430.00
lake macquarie,"03-2021",1,3270.00,3270.00
lake macquarie,"04-2021",1,2550.00,2550.00
lane cove,"05-2020",223,1166230.00,5229.73
lane cove,"06-2020",222,1542706.00,6949.13
lane cove,"07-2020",186,1282958.00,6897.62
lane cove,"08-2020",184,1022705.20,5558.18
lane cove,"09-2020",205,1173640.32,5725.07
lane cove,"10-2020",200,1665130.84,8325.65
lane cove,"11-2020",197,1663573.00,8444.53
lane cove,"12-2020",186,1876079.00,10086.45
lane cove,"01-2021",186,1682839.00,9047.52
lane cove,"02-2021",183,1623465.00,8871.39
lane cove,"03-2021",179,1640592.00,9165.32
lane cove,"04-2021",168,1694433.00,10085.91
mid-western regional,"06-2020",1,228.00,228.00
mosman,"05-2020",267,2225131.00,8333.82
mosman,"06-2020",264,2158927.00,8177.75
mosman,"07-2020",218,1822064.00,8358.09
mosman,"08-2020",220,1713022.91,7786.47
mosman,"09-2020",246,2115354.00,8599.00
mosman,"10-2020",240,2200225.69,9167.61
mosman,"11-2020",234,2009626.00,8588.15
mosman,"12-2020",229,2364480.00,10325.24
mosman,"01-2021",229,2256051.00,9851.75
mosman,"02-2021",227,1992705.00,8778.44
mosman,"03-2021",223,2179384.00,9773.02
mosman,"04-2021",213,2048418.00,9616.99
no address,"05-2020",10675,45243260.00,4238.24
no address,"06-2020",10562,44600860.00,4222.77
no address,"07-2020",9167,38254513.00,4173.07
no address,"08-2020",9457,38408607.84,4061.39
