"listing_neighbourhood","month_year","total_active_listings","total_inactive_listings","min_price","max_price","median_price","avg_price","distinct_hosts","superhost_rate","avg_review_scores_rating","total_stays","avg_estimated_revenue_per_active_listing","pct_change_active_listings","pct_change_inactive_listings"
bayside,"05-2020",1616,0,0,15367.00,86.0,182.01,1220,14.67,94.70,30899,2461.66,,
bayside,"06-2020",1586,0,0,14478.00,84.0,178.74,1201,14.57,94.74,30393,2498.89,-1.86,
bayside,"07-2020",1362,0,0,14376.00,85.0,192.54,1041,15.18,94.90,26195,2505.61,-14.12,
bayside,"08-2020",1380,0,17.00,2904.00,79.0,110.69,1051,14.84,94.86,24945,1916.70,1.32,
bayside,"09-2020",1729,0,17.00,2903.71,78.0,107.71,1157,14.17,94.93,33227,1981.98,25.29,
bayside,"10-2020",1513,0,17.00,2904.00,78.0,108.78,1141,14.02,94.98,30281,2103.45,-12.49,
bayside,"11-2020",1477,0,14.00,2904.00,78.0,112.54,1115,14.26,95.19,27938,2083.92,-2.38,
bayside,"12-2020",1493,0,15.00,2904.00,80.0,116.82,1128,13.74,95.23,31826,2486.88,1.08,
bayside,"01-2021",1502,0,15.00,2904.00,80.0,128.83,1128,13.56,95.31,31143,2631.88,0.60,
bayside,"02-2021",1483,0,15.00,2904.00,80.0,124.53,1111,13.68,95.32,28911,2419.04,-1.26,
bayside,"03-2021",1451,0,15.00,5000.00,80.0,130.00,1106,13.56,95.35,29441,2712.60,-2.16,
bayside,"04-2021",1436,0,15.00,5000.00,80.0,123.01,1087,13.25,95.45,29307,2590.56,-1.03,
blacktown,"05-2020",318,0,23.00,1099.00,63.0,90.30,239,16.32,93.42,3628,1037.93,,
blacktown,"06-2020",307,0,23.00,1099.00,62.0,90.67,234,17.52,94.09,3816,1109.10,-3.46,
blacktown,"07-2020",271,0,23.00,2164.00,66.0,123.69,212,16.51,94.02,3898,1423.99,-11.73,
blacktown,"08-2020",282,0,20.00,2000.00,60.0,98.15,216,16.20,94.12,3318,1228.81,4.06,
blacktown,"09-2020",319,0,20.00,2000.00,60.0,92.30,220,15.91,94.62,4081,1157.97,13.12,
blacktown,"10-2020",281,0,18.00,2000.00,64.0,98.97,216,15.74,94.69,4098,1673.46,-11.91,
blacktown,"11-2020",285,0,18.00,2000.00,61.0,92.81,221,15.38,94.70,3409,1227.36,1.42,
blacktown,"12-2020",285,0,22.00,2000.00,61.0,92.88,217,16.59,94.59,4451,1670.41,0.00,
