"property_type","room_type","accommodates","month_year","active_listing_rate","min_price","max_price","median_price","avg_price","distinct_hosts","superhost_rate","avg_review_scores_rating","total_stays","avg_estimated_revenue_per_active_listing","pct_change_active_listings","pct_change_inactive_listings"
aparthotel,entire home/apt,2,"05-2020",100.00,165.00,165.00,165.0,165.00,1,100.00,94.00,0,0.00,,
aparthotel,entire home/apt,2,"06-2020",100.00,164.00,164.00,164.0,164.00,1,100.00,94.00,0,0.00,0.00,
aparthotel,entire home/apt,3,"06-2020",100.00,99.00,109.00,104.0,104.00,1,0.00,97.50,5,61.88,,
aparthotel,entire home/apt,3,"07-2020",100.00,98.00,108.00,103.0,103.00,1,0.00,76.88,30,370.00,0.00,
aparthotel,entire home/apt,5,"05-2020",100.00,158.00,158.00,158.0,158.00,1,0.00,93.00,28,4424.00,,
aparthotel,entire home/apt,5,"06-2020",100.00,158.00,158.00,158.0,158.00,1,0.00,93.00,14,2212.00,0.00,
aparthotel,entire home/apt,5,"07-2020",100.00,158.00,158.00,158.0,158.00,1,0.00,93.00,13,2054.00,0.00,
aparthotel,hotel room,2,"05-2020",100.00,47.00,501.00,347.5,310.75,2,50.00,92.50,8,888.50,,
aparthotel,hotel room,2,"06-2020",100.00,48.00,501.00,348.0,311.25,2,50.00,92.50,25,3018.00,0.00,
aparthotel,hotel room,2,"07-2020",100.00,196.00,500.00,500.0,398.67,1,100.00,97.33,15,2398.67,-25.00,
aparthotel,hotel room,4,"05-2020",100.00,499.00,501.00,501.0,500.33,2,50.00,96.00,0,0.00,,
aparthotel,hotel room,4,"06-2020",100.00,499.00,501.00,501.0,500.33,2,50.00,96.00,2,334.00,0.00,
aparthotel,hotel room,4,"07-2020",100.00,500.00,500.00,500.0,500.00,1,100.00,93.00,8,4000.00,-66.67,
aparthotel,private room,2,"05-2020",100.00,80.00,351.00,130.0,172.75,3,33.33,94.50,32,665.00,,
aparthotel,private room,2,"06-2020",100.00,80.00,350.00,130.0,172.50,3,33.33,92.75,61,1607.50,0.00,
aparthotel,private room,2,"07-2020",100.00,80.00,350.00,130.0,156.67,3,33.33,95.17,35,543.33,50.00,
aparthotel,private room,3,"05-2020",100.00,139.00,139.00,139.0,139.00,1,100.00,100.00,1,139.00,,
aparthotel,private room,3,"06-2020",100.00,140.00,140.00,140.0,140.00,1,100.00,100.00,1,140.00,0.00,
aparthotel,private room,3,"07-2020",100.00,140.00,140.00,140.0,140.00,1,100.00,100.00,2,140.00,100.00,
aparthotel,private room,4,"05-2020",100.00,161.00,249.00,205.0,205.00,2,50.00,100.00,31,3815.50,,
aparthotel,private room,4,"06-2020",100.00,161.00,249.00,205.0,205.00,2,50.00,100.00,60,6150.00,0.00,
aparthotel,private room,4,"07-2020",100.00,160.00,160.00,160.0,160.00,1,100.00,100.00,2,160.00,0.00,
apartment,entire home/apt,1,"05-2020",100.00,20.00,804.00,98.5,126.15,100,8.00,95.56,2468,2781.80,,
apartment,entire home/apt,1,"06-2020",100.00,20.00,789.00,99.0,125.67,100,8.00,95.26,2455,2744.76,0.00,
apartment,entire home/apt,1,"07-2020",100.00,20.00,2157.00,98.5,178.36,86,8.14,94.41,2050,4141.52,-13.73,
apartment,entire home/apt,2,"05-2020",100.00,15.00,12001.00,130.0,221.76,4646,14.87,95.35,127290,4053.08,,
apartment,entire home/apt,2,"06-2020",100.00,14.00,12000.00,134.0,220.33,4574,14.91,95.34,128470,4032.84,-1.91,
apartment,entire home/apt,2,"07-2020",100.00,14.00,12000.00,139.0,291.33,3834,15.57,95.53,109514,4427.28,-13.44,
apartment,entire home/apt,3,"05-2020",100.00,15.00,2544.00,139.0,194.44,1289,15.44,94.43,32388,3758.77,,
apartment,entire home/apt,3,"06-2020",100.00,14.00,2456.00,140.0,194.44,1270,15.51,94.66,32505,3791.32,-2.24,
apartment,entire home/apt,3,"07-2020",100.00,14.00,2711.00,141.0,171.17,1047,16.91,94.60,26856,3773.90,-19.54,
apartment,entire home/apt,4,"05-2020",100.00,0,10000.00,181.0,238.83,3909,15.45,94.64,106656,4856.94,,
apartment,entire home/apt,4,"06-2020",100.00,0,10000.00,180.0,236.95,3830,15.30,94.68,107489,5127.44,-3.15,
apartment,entire home/apt,4,"07-2020",100.00,0,7000.00,180.0,243.24,3141,15.41,94.61,88264,5041.00,-18.30,
