taxi_type,pickup_borough,dropoff_borough,year_month,month,day_of_week,hour_of_day,total_trips,avg_distance_km,avg_amount_per_trip,total_amount_paid
yellow,Unknown,Manhattan,2014-10,Oct,Tuesday,12,144,4.26,16.65,2397.03
yellow,Unknown,Unknown,2014-11,Nov,Saturday,9,1328,4.09,12.72,16894.29
yellow,Unknown,Manhattan,2014-11,Nov,Sunday,18,182,4.16,13.63,2480.4
yellow,Queens,Queens,2014-11,Nov,Tuesday,21,968,9.88,22.18,21469.03
yellow,Brooklyn,EWR,2014-11,Nov,Friday,6,1,25.7,86.4,86.4
yellow,Brooklyn,Brooklyn,2014-11,Nov,Friday,18,1018,2.99,12.36,12585.94
yellow,Manhattan,EWR,2014-10,Oct,Monday,18,85,27.77,91.83,7805.73
yellow,Manhattan,Manhattan,2014-10,Oct,Tuesday,19,101634,3.08,12.49,1269078.39
yellow,Queens,Queens,2014-11,Nov,Saturday,18,1358,8.16,19.45,26408.24
yellow,Manhattan,Bronx,2014-11,Nov,Monday,18,219,13.9,33.84,7409.95
yellow,Staten Island,Brooklyn,2014-11,Nov,Friday,1,1,6,23.16,23.16
yellow,Manhattan,Queens,2014-11,Nov,Friday,11,2665,18.92,46.43,123732.86
yellow,Queens,Unknown,2014-11,Nov,Friday,12,44,31.04,84.96,3738.06
yellow,Queens,EWR,2014-11,Nov,Saturday,22,1,59.26,130,130
yellow,Unknown,Unknown,2014-10,Oct,Monday,18,1451,3.9,14.04,20366.37
yellow,Bronx,Bronx,2014-10,Oct,Tuesday,12,10,3.4,10.99,109.9
yellow,Unknown,Unknown,2014-10,Oct,Wednesday,11,1247,4.28,16.04,20002.04
yellow,Brooklyn,Bronx,2014-10,Oct,Thursday,1,4,21.37,41.6,166.38
yellow,Queens,EWR,2014-10,Oct,Thursday,8,3,51.19,132.61,397.82
yellow,Queens,Bronx,2014-11,Nov,Tuesday,0,62,22.61,46.3,2870.88
yellow,Unknown,Unknown,2014-11,Nov,Thursday,8,1083,3.76,14.15,15319.18
yellow,Brooklyn,Unknown,2014-11,Nov,Friday,4,1,35.44,69,69
yellow,Manhattan,Brooklyn,2014-11,Nov,Friday,14,1036,10.07,29.44,30501.21
yellow,Manhattan,Brooklyn,2014-11,Nov,Friday,22,5590,9.59,27.49,153647.17
yellow,Staten Island,Manhattan,2014-11,Nov,Saturday,10,1,1.77,8.75,8.75
yellow,Manhattan,Queens,2014-10,Oct,Tuesday,11,2162,18.87,45.01,97314.14
yellow,Brooklyn,Manhattan,2014-10,Oct,Thursday,18,473,7.12,22.48,10633.72
yellow,Queens,Bronx,2014-10,Oct,Thursday,22,107,22.98,49.19,5263.59
yellow,Queens,Queens,2014-10,Oct,Friday,7,1439,7.3,18.94,27260.03
yellow,Unknown,Queens,2014-11,Nov,Saturday,2,15,8.81,22.34,335.03
yellow,Bronx,Manhattan,2014-11,Nov,Saturday,16,22,9.5,23.42,515.31
yellow,Manhattan,EWR,2014-11,Nov,Tuesday,1,1,31.4,81,81
yellow,Unknown,Queens,2014-11,Nov,Thursday,2,4,8.49,19.46,77.83
yellow,Manhattan,Bronx,2014-11,Nov,Thursday,10,117,13.93,31.38,3670.88
yellow,Manhattan,EWR,2014-11,Nov,Friday,14,309,27.97,93.32,28837.05
yellow,Manhattan,EWR,2014-11,Nov,Friday,15,206,28.18,97.54,20093.74
yellow,Bronx,Manhattan,2014-11,Nov,Friday,15,15,7.98,22.8,341.93
yellow,Brooklyn,Bronx,2014-11,Nov,Tuesday,17,1,28.47,55,55
yellow,Manhattan,Manhattan,2014-11,Nov,Friday,10,71263,2.93,12.16,866346.88
yellow,Brooklyn,Staten Island,2014-11,Nov,Saturday,5,2,18.77,44.35,88.7
yellow,Unknown,Unknown,2014-10,Oct,Tuesday,19,1404,3.72,14.19,19929.72
yellow,Manhattan,EWR,2014-10,Oct,Friday,16,164,27.97,102.31,16779.26
yellow,Manhattan,Unknown,2014-11,Nov,Monday,7,65,15.6,56.88,3697
yellow,Manhattan,Bronx,2014-11,Nov,Tuesday,9,149,13.55,32,4767.57
yellow,Manhattan,Bronx,2014-11,Nov,Thursday,1,399,14.4,29.96,11955.17
yellow,Queens,Unknown,2014-11,Nov,Thursday,9,38,29.57,77.83,2957.52
yellow,Unknown,Queens,2014-11,Nov,Thursday,17,18,14.94,41.03,738.62
yellow,Brooklyn,Unknown,2014-11,Nov,Thursday,18,2,7.4,40.67,81.33
yellow,Queens,Unknown,2014-10,Oct,Thursday,21,116,30.21,91.19,10578.32
yellow,Unknown,Queens,2014-10,Oct,Friday,13,20,16.8,43.73,874.59
yellow,Staten Island,Brooklyn,2014-11,Nov,Saturday,9,1,6.6,15,15
yellow,Queens,Unknown,2014-11,Nov,Monday,1,12,23.11,46.7,560.41
yellow,Bronx,Bronx,2014-11,Nov,Monday,1,17,4.56,15.1,256.7
yellow,Manhattan,Staten Island,2014-11,Nov,Tuesday,0,12,31.73,82.72,992.63
yellow,Manhattan,Manhattan,2014-11,Nov,Tuesday,5,11535,3.26,10.4,120021.61
yellow,Bronx,Unknown,2014-11,Nov,Wednesday,22,3,26.16,112.38,337.13
yellow,Brooklyn,Brooklyn,2014-10,Oct,Wednesday,19,1217,3.32,12.2,14842.25
yellow,Queens,Unknown,2014-10,Oct,Friday,15,100,30.58,94.63,9463.3
yellow,Manhattan,Manhattan,2014-11,Nov,Saturday,1,83735,3.75,12.56,1051326.01
yellow,Manhattan,Manhattan,2014-11,Nov,Sunday,7,22403,3.55,10.46,234305.63
yellow,Manhattan,EWR,2014-11,Nov,Monday,16,151,28.14,92.48,13964.04
yellow,Bronx,Bronx,2014-11,Nov,Thursday,9,18,3.61,14.63,263.31
yellow,Manhattan,Bronx,2014-11,Nov,Friday,18,250,12.78,31.66,7914.11
yellow,Brooklyn,Manhattan,2014-10,Oct,Monday,23,521,8.17,21.62,11263.11
yellow,Manhattan,Unknown,2014-10,Oct,Tuesday,15,47,15.16,50.72,2383.93
yellow,Bronx,Unknown,2014-11,Nov,Saturday,8,1,33.15,56,56
yellow,Queens,Brooklyn,2014-11,Nov,Friday,6,271,22.32,46.87,12701.91
yellow,Manhattan,Queens,2014-10,Oct,Friday,2,2840,11,25.44,72235.44
yellow,Manhattan,Queens,2014-11,Nov,Saturday,18,2411,16,38.43,92649.38
yellow,Unknown,EWR,2014-11,Nov,Sunday,6,4,21.19,88.14,352.56
yellow,Queens,EWR,2014-11,Nov,Sunday,6,6,52.06,130.21,781.25
yellow,Brooklyn,Brooklyn,2014-11,Nov,Sunday,17,1210,3.48,11.51,13925.04
yellow,Brooklyn,Brooklyn,2014-11,Nov,Monday,7,537,3.32,11.81,6342.15
yellow,Queens,Manhattan,2014-11,Nov,Monday,17,3120,21.58,52.93,165153.16
yellow,Bronx,Bronx,2014-11,Nov,Monday,22,16,3.1,10.44,167.1
yellow,Brooklyn,Queens,2014-11,Nov,Wednesday,7,119,18.61,41.4,4927.15
yellow,Bronx,Manhattan,2014-11,Nov,Thursday,4,5,6.25,15.6,78
yellow,Brooklyn,Manhattan,2014-11,Nov,Friday,0,636,7.82,21.34,13571.93
yellow,Unknown,EWR,2014-11,Nov,Sunday,18,3,22.91,104.9,314.7
yellow,Brooklyn,Unknown,2014-11,Nov,Monday,11,4,20.42,85.06,340.24
yellow,Queens,Queens,2014-11,Nov,Monday,19,903,10.31,24.05,21716.36
yellow,Manhattan,Unknown,2014-11,Nov,Tuesday,0,120,15.18,63.64,7637.07
yellow,Brooklyn,Brooklyn,2014-11,Nov,Friday,8,600,2.81,10.9,6537.83
yellow,Brooklyn,Queens,2014-11,Nov,Friday,21,91,10.62,25.77,2344.91
yellow,Queens,Manhattan,2014-11,Nov,Friday,23,2374,20.22,46.4,110146.44
yellow,Bronx,Bronx,2014-10,Oct,Thursday,3,14,4.5,13.54,189.5
yellow,Manhattan,Manhattan,2014-10,Oct,Friday,17,96279,2.99,13.27,1278020.84
yellow,Brooklyn,Manhattan,2014-11,Nov,Saturday,2,1671,8.7,23.64,39502
yellow,Manhattan,Unknown,2014-11,Nov,Monday,16,40,14.55,58.04,2321.6
